order_date,order_date_of_month,dow,orders,delivery_fee,restaurant_id,food_price,is_coupon_used,is_bkk,is_chain_res,is_main_dish,CASH,LINEMAN_CREDIT_CARD,RLP,L,M,S,cooking_time_in_seconds_trf,delivery_time_in_seconds_trf,total_time_waiting,%_coupon_used,%_chain_res,%_S_resturant_orders,%_L_resturant_orders,orders_per_rest,%_CASH
108,16,3,451,10.0,94,120.0,451,256,82,315,383.0,24,44,133.0,118.0,200.0,637.5,492.0,1217.5,1.0,0.18181818181818182,0.4434589800443459,0.29490022172949004,4.797872340425532,0.8492239467849224
109,17,4,482,10.0,104,118.0,482,277,87,351,395.0,37,50,130.0,145.0,207.0,684.0,500.0,1224.0,1.0,0.18049792531120332,0.42946058091286304,0.2697095435684647,4.634615384615385,0.8195020746887967
110,18,5,494,10.0,99,120.0,494,280,122,341,415.0,29,50,136.0,140.0,218.0,687.0,526.0,1257.5,1.0,0.24696356275303644,0.44129554655870445,0.27530364372469635,4.98989898989899,0.840080971659919
111,19,6,564,10.0,106,110.0,563,298,105,422,477.0,32,55,183.0,155.0,226.0,722.0,474.0,1268.0,0.99822695035461,0.18617021276595744,0.40070921985815605,0.324468085106383,5.320754716981132,0.8457446808510638
112,20,0,577,10.0,94,115.0,576,310,128,416,501.0,26,50,152.0,173.0,252.0,726.0,495.0,1299.0,0.9982668977469671,0.2218370883882149,0.43674176776429807,0.2634315424610052,6.138297872340425,0.8682842287694974
113,21,1,536,10.0,97,107.0,535,301,116,366,443.0,32,61,173.0,124.0,239.0,647.0,482.5,1169.0,0.9981343283582089,0.21641791044776118,0.4458955223880597,0.32276119402985076,5.525773195876289,0.8264925373134329
114,22,2,557,10.0,102,120.0,557,316,103,404,463.0,33,61,154.0,144.0,259.0,657.0,452.0,1188.0,1.0,0.18491921005385997,0.4649910233393178,0.2764811490125673,5.46078431372549,0.8312387791741472
115,23,3,499,10.0,97,100.0,499,252,119,340,421.0,32,46,141.0,114.0,244.0,649.0,490.0,1163.0,1.0,0.23847695390781562,0.48897795591182364,0.28256513026052105,5.144329896907217,0.843687374749499
116,24,4,580,10.0,101,110.5,579,312,131,413,494.0,39,47,182.0,135.0,263.0,693.0,492.5,1251.0,0.9982758620689656,0.22586206896551725,0.453448275862069,0.3137931034482759,5.742574257425742,0.8517241379310345
117,25,5,569,10.0,111,116.0,565,337,128,371,466.0,44,59,157.0,132.0,280.0,642.5,516.0,1217.0,0.9929701230228472,0.22495606326889278,0.492091388400703,0.2759226713532513,5.126126126126126,0.8189806678383128
118,26,6,602,10.0,105,119.0,596,305,145,438,512.0,42,48,145.0,167.0,290.0,731.0,498.5,1301.0,0.9900332225913622,0.24086378737541528,0.48172757475083056,0.24086378737541528,5.733333333333333,0.8504983388704319
